,train_accuracy,test_accuracy,accuracy_gap,precision,recall,f1_score,roc_auc,confusion_matrix,cv_roc_auc,cv_f1,is_overfitted
logreg,0.8519912198181248,0.8536050156739812,-0.0016137958558564147,0.6950294860994103,0.8870967741935484,0.7794048181388757,0.9462679607955087,"[[1898, 362], [105, 825]]",0.9373812569019935,0.7721525653468595,No
rf,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"[[2260, 0], [0, 930]]",0.9999959849834539,0.9973027609884599,Yes
gb,1.0,1.0,0.0,1.0,1.0,1.0,1.0000000000000002,"[[2260, 0], [0, 930]]",0.9999988095316065,0.9989229210870112,Yes
xgboost,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"[[2260, 0], [0, 930]]",1.0,1.0,Yes
catboost,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"[[2260, 0], [0, 930]]",1.0,1.0,Yes
